ID,Name,Ob,Fl,SourceYear,Relations,OtherRelations,Notes
1,d. O'Dwyer,,ca 1340?,1369,"Daughter of O'Dwyer, wife(?) of MacNamara","Mother of Sida Og MacNamara, who took wardenship of Limerick in 1366",
2,Unknown O'Dwyer-1,,ca 1320?,1369,Father of d. O'Dwyer,,
3,Unknown MacNamara-1,,ca 1340?,1369,Husband(?) of d. O'Dwyer,Father of Sida Og MacNamara,
4,d. O'Daly,,ca 1350?,1372,"Daughter of O'Daly, wife(?) of MacNamara","Mother of Aedh MacNamara, who assembled Clann-Cuilen, and Mathgamain MacNamara (d. 1372)","This may actually be a generation up from Sida Og, since Mathgamain's death doesn't have a cause attributed - is Sida Og the son of one of these two?"
5,Unknown O'Daly-1,,ca 1330?,1372,Father of d. O'Daly,,
6,Unknown MacNamara-2,,ca 1350?,1372,Husband(?) of d. O'Daly,Father of Aedh and Mathgamain MacNamara,
7,d. Turlough O'Conor,,ca 1350?,1395,"Daughter of Turlough O'Conor, wife of Cathal Oge O'Conor",Mother of Aedh O'Conor (d. 1395),
8,Turlough O'Conor,,ca 1330?,1395,"Father of d. Turlough O'Conor, Una O'Conor, d2. Turlough O'Conor, husband(?) of Grainne O'Kelly","Grandfather of Aedh O'Conor, Cu-Connacht mac Manus O'Reilly",
9,Cathal Oge O'Conor,,ca 1350?,1395,"Husband of d. Turlough O'Conor, father of Dervorgilla and Edain O'Conor",Father of Aedh O'Conor,
10,Una O'Conor,,ca 1350?,1395,"Daughter of Turlough O'Conor, wife of Manus mac Cu-Connacht O'Reilly",,
11,Manus mac Cu-Connacht O'Reilly,,ca 1350?,1395,Husband of Una O'Conor,Father of Cu-Connacht mac Manus O'Reilly,
12,Grainne O'Kelly,1440,ca 1400?,1424,"Daughter of Maoilsheachluinn O'Kelly, wife(?) of Turlough O'Conor, wife of Tadhg O'Brien",Mother of Ruaidhri mac Turlough O'Conor,Death in AFM1440.11
13,Maoilsheachluinn O'Kelly,1401,ca 1380?,1424,Father of Grainne O'Kelly,,Forename and death in AiD
14,Tadhg O'Brien,1444,1424,1424,Husband of Grainne O'Kelly,,Death in AiD
15,Gormlaith O'Donnell,1353,,1353,"Daughter of O'Donnell, wife of Aedh O'Neill",,"Per Simms, actually married to Domhnall O'Neill - supported by a primary source, but one recorded a century later. Hard to say??"
16,Unknown O'Donnell-1,,ca 1320?,1353,Father of Gormlaith O'Donnell,,
17,Aedh O'Neill,,1353,1353,"Husband of Gormlaith O'Donnell, father of Sadhbh and Affric O'Neill",,See above - possibly actually Domhnall O'Neill
18,Mor O'Conor,1356,,1356,"Daughter of O'Conor, wife of O'Farrell",,
19,Unknown O'Conor-1,,ca 1330?,1356,Father of Mor O'Conor,,
20,Unknown O'Farrell-1,,1356,1356,Husband of Mor O'Conor,,
21,d. Seoinin Burke,,1356,1356,"Daughter of Seoinin Burke, wife of Donnchadh Carrach O'Kelly, abudcted by Aedh mac Turlough O'Conor",,
22,Seoinin Burke,,ca 1330?,1356,Father of Seoinin Burke,,
23,Donnchadh Carrach O'Kelly,,1356,1356,Husband of d. Seoinin Burke,,
24,Aedh mac Turlough O'Conor,,1356,1356,Abducted d. Seoinin Burke,,
25,d2. Turlough O'Conor,1360,,1360,"Daughter of Turlough O'Conor, wife of Ferghal O'Reilly",,
26,Ferghal O'Reilly,,1360,1360,Husband of d2. Turlough O'Conor,,
27,Dubog Maguire,1361,,1361,"Daughter of Aedh Maguire, wife of Cu-Connacht mac Philip MacMahon",,
28,Aedh Maguire,,ca 1340?,1361,Father of Dubog Maguire,,
29,Cu-Connacht mac Philip MacMahon,,1361,1361,Husband of Dubog Maguire,,
30,Fionnghuala O'Malley,1362,,[1359],"Daughter of Domhnall Ruadh O'Malley O'Malley, wife of Domhnall Cleirich O'Dowda; mother of Ruadhri O'Dowda",,
31,Domhnall Ruadh O'Malley,,ca 1340?,[1359],Father of Fionnghuala O'Malley,,
32,Domhnall Cleirach O'Dowda,1380,1362,[1359],Husband of Fionnghuala O'Malley; father of Ruadhri and Tadhg Riabhach,,
33,Catherine/Lasarina/Catirfina O'Farrell,1363,,1363,"Daughter of O'Farrell, wife of O'Reilly",,
34,Unknown O'Farrell-2,,ca 1340?,1363,Father of Catherine/Lasarina/Catirfina O'Farrell,,
35,Unknown O'Reilly-1,,1363,1363,Husband of Catherine/Lasarina/Catirfina O'Farrell,,"Possibly Seaan, father of Eoghan (AiD 30)? But probably a generation too early, because Eoghan dies 1449"
36,Margaret Burke,1364,,1364,"Daughter of Walter Burke, wife of Aedh mac Feidlimidh O'Conor",,
37,Walter Burke,,ca 1340?,1364,Father of Margaret Burke,,
38,Aedh mac Feidlimidh O'Conor,,1364,1364,Husband of Margaret Burke,,
39,Derbail O'Donnell,1364,,1364,"Daughter of O'Donnell, wife of Aedh Ruadh Maguire",,
40,Unknown O'Donnell-2,,ca 1340?,1364,Father of Derbail O'Donnell,,
41,Aedh Ruadh Maguire,,1364,1364,Husband of Derbail O'Donnell,,
42,Aiffric O'Reilly,1364,,1364,"Daughter of Brian O'Reilly, wife of Brian MacTiernan",,
43,Brian O'Reilly,,ca 1340?,1364,Father of Aiffric O'Reilly,,
44,Brian MacTiernan,,1364,1364,Husband of Aiffric O'Reilly,,
45,d. MacDonough,1365,,1365,"Daughter of MacDonough, wife of Mulrony O'Dowda",,
46,Unknown MacDonough-1,,ca 1340?,1365,Father of d. MacDonough,,
47,Mulroney O'Dowda,1362,,1365,Husband of d. MacDonough,,"See O'Donovan HF 358 - son of Brian O'Dowda (never lord himself) and Una, d. Felim O'Conor and gd. Cathal Crobhdherg"
48,d. O'Reilly,,1365,1365,"Ex-fiancee of Somairle Dubh MacDonald, possible daughter of Brian O'Reilly?",,
49,Unknown O'Reilly-2,,ca 1340?,1365,Father of d. O'Reilly,,Possibly = Brian O'Reilly (43)
50,d. Brian mac Aedh MacMahon,,1365,1365,"Daughter of Brian mac Aedh MacMahon, wife of Somairle Dubh MacDonald",,
51,Brian mac Aedh MacMahon,,1365,1365,Father of Brian mac Aedh MacMahon,,
52,Somairle Dubh mac John MacDonald,,1365,1365,"Ex-fiancee of d. O'Reilly, husband of d. Brian mac Aedh MacMahon",,
53,Bevin Mageoghegan,1363,,1363,"Daughter of Mageoghegan, wife of Sionnach",,
54,Unknown Mageoghegan-1,,ca 1340?,1363,Father of Bevin Mageoghegan,,
55,Unknown Sionnach-1,,1363,1363,Husband of Bevin Mageoghegan,,
56,Derbail MacDermot,1367,,1367,"Daughter of Maelruanaidh MacDermot, wife of Ualgarg O'Rourke Mor",,
57,Maelruanaidh MacDermot,,ca 1340?,1367,Father of Derbail MacDermot,,
58,Ualgarg O'Rourke Mor,,1367,1367,"Husband of Derbail MacDermot, father of Bebinn O'Rourke and Finola O'Rourke",,
59,Bebinn O'Rourke,1367,,1367,"Daughter of Ualgarg O'Rourke, wife of Tomaltagh MacDonough",,
60,Tomaltagh MacDonough,,1367,1367,Husband of Bebinn O'Rourke,,
