SourceName,source,type,TargetName,target
d. O'Dwyer-1,1,daughter,Unknown O'Dwyer-1,2
d. O'Dwyer-1,1,spouse,Unknown MacNamara-1,3
d. O'Daly-1,4,daughter,Unknown O'Daly-1,5
d. O'Daly-1,4,spouse,Unknown MacNamara-2,6
d. Turlough O'Conor-1,7,daughter,Turlough O'Conor,8
d. Turlough O'Conor-1,7,spouse,Cathal Og O'Conor,9
Una O'Conor,10,daughter,Turlough O'Conor,8
Una O'Conor,10,spouse,Manus mac Cu-Connacht O'Reilly,11
d. Turlough O'Conor-2,25,daughter,Turlough O'Conor,8
d. Turlough O'Conor-2,25,spouse,Ferghal O'Reilly,26
Grainne O'Kelly,12,daughter,Maoilsheachluinn O'Kelly,13
Grainne O'Kelly,12,spouse,Turlough O'Conor,8
Grainne O'Kelly,12,spouse,Tadhg O'Brien,14
Gormlaith O'Donnell,15,daughter,Unknown O'Donnell-1,16
Gormlaith O'Donnell,15,spouse,Aedh O'Neill,17
Mor O'Conor,18,daughter,Unknown O'Conor-1,19
Mor O'Conor,18,spouse,Unknown O'Farrell-1,20
d. Seoinin Burke,21,daughter,Seoinin Burke,22
d. Seoinin Burke,21,spouse,Donnchadh Carrach O'Kelly,23
d. Seoinin Burke,21,abducted by,Aedh mac Turlough O'Conor,24
Dubog Maguire,27,daughter,Aedh Maguire,28
Dubog Maguire,27,spouse,Cu-Connacht mac Philip MacMahon,29
d. O'Malley-1,30,daughter,Unknown O'Malley-1,31
d. O'Malley-1,30,spouse,Domhnall Cleirach O'Dowda,32
Catherine O'Farrell,33,daughter,Unknown O'Farrell-2,34
Catherine O'Farrell,33,spouse,Unknown O'Reilly-1,35
Margaret Burke,36,daughter,Walter Burke,37
Margaret Burke,36,spouse,Aedh mac Feidlimidh O'Conor,38
Derbail O'Donnell,39,daughter,Unknown O'Donnell-2,40
Derbail O'Donnell,39,spouse,Aedh Ruadh Maguire,41
Aiffric O'Reilly,42,daughter,Brian O'Reilly,43
Aiffric O'Reilly,42,spouse,Brian MacTiernan,44
d. MacDonough,45,daughter,Unknown MacDonough-1,46
d. MacDonough,45,spouse,Mulroney O'Dowda,47
d. O'Reilly-1,48,daughter,Unknown O'Reilly-2,49
d. O'Reilly-1,48,ex-fiancee,Somairle Dubh MacDonald,52
d. Brian mac Aedh MacMahon,50,daughter,Brian mac Aedh MacMahon,51
d. Brian mac Aedh MacMahon,50,spouse,Somairle Dubh MacDonald,52
Bevin Mageoghegan,53,daughter,Unknown Mageoghegan-1,54
Bevin Mageoghegan,53,spouse,Unknown Sionnach-1,55
Derbail MacDermot,56,daughter,Maelruanaidh MacDermot,57
Derbail MacDermot,56,spouse,Ualgarg O'Rourke,58
Bebinn O'Rourke,60,daughter,Ualgarg O'Rourke,58
Bebinn O'Rourke,60,spouse,Tomaltagh MacDonough,60
Finola O'Rourke,164,daughter,Ualgarg O'Rourke,60
Finola O'Rourke,164,spouse,John More O'Hara,165
Dubchablach O'Reilly,61,daughter,Philip O'Reilly,62
Dubchablach O'Reilly,61,spouse,Philip Maguire,63
d. Manus MacMahon,64,daughter,Manus MacMahon,65
d. Manus MacMahon,64,spouse,Gillapatrick MacCawell,66
Joanna Cam MacCarthy,67,daughter,Unknown MacCarthy-1,68
Joanna Cam MacCarthy,67,spouse,Unknown MacNamara-3,69
Barrduv O'Rourke,70,daughter,Unknown O'Rourke-1,71
Barrduv O'Rourke,70,spouse,Donnell MacTiernan,72
Sabia O'Conor,73,daughter,Cathal mac Domhnall O'Conor,74
Sabia O'Conor,73,spouse,Flaherty O'Rourke,75
Cablaigh Mor O'Conor,154,daughter,Cathal mac Domhnall O'Conor,74
Cablaigh Mor O'Conor,154,consort,Niall O'Donnell,155
Cablaigh Mor O'Conor,154,consort,Aedh O'Rourke,156
Cablaigh Mor O'Conor,154,consort,Cathal mac Aedh O'Conor,157
Mor O'Farrell,76,daughter,Unknown O'Farrell-3,77
Mor O'Farrell,76,spouse,Diarmait MacRannell,78
Dubchablach MacRannell,79,daughter,Unknown MacRannell-1,80
Dubchablach MacRannell,79,spouse,Unknown O'Mulvey-1,81
Bebinn O'Dunne,82,daughter,Donnell O'Dunne,83
Bebinn O'Dunne,82,spouse,Unknown O'Dempsey-1,84
Finnghuala O'Kelly,85,daughter,Unknown O'Kelly-3,86
Finnghuala O'Kelly,85,spouse,Unknown Mac William Burke-1,87
Aine MacNamara,88,daughter,Unknown MacNamara-4,89
Aine MacNamara,88,spouse,Philip O'Kennedy,90
Finola O'Kane,91,daughter,Cooey O'Kane,92
Finola O'Kane,91,spouse,Turlough MacSweeny,93
Margaret MacSweeny,182,daughter,Turlough MacSweeny,93
Margaret MacSweeny,182,spouse,John mac Donnell O'Donnell,183
Sabia Burke,94,daughter,Ulick Burke,95
Sabia Burke,94,spouse,Unknown O'Conor-2,95
Duvcovla O'Conor Faly,97,daughter,Unknown O'Conor Faly-1,98
Duvcovla O'Conor Faly,97,spouse,Donnell mac Theobald O'Molloy,99
Lasarina O'Duigennan,100,daughter,Farrell O'Duigennan,101
Lasarina O'Duigennan,100,spouse,Unknown O'Meehin-1,102
Dubchablach MacDermot,103,daughter,Aedh MacDermot,104
Dubchablach MacDermot,103,spouse,Cathal Roe MacRannell,105
Lasairfina O'Conor,106,daughter,Turlough O'Conor-2,107
Lasairfina O'Conor,106,spouse,Unknown MacRannell Dubh-1,108
Raghnailt MacBrady,109,daughter,Unknown MacBrady-1,110
Raghnailt MacBrady,109,spouse,Unknown MacDarcy-1,111
Aine MacBrady,112,daughter,Unknown MacBrady-1,110
Aine MacBrady,112,spouse,Matthew mac Conor O'Owen,113
More O'Madden,114,daughter,Murrough O'Madden,115
More O'Madden,114,spouse,Richard Mac William Burke,116
Joanna Cam Butler,117,daughter,James Butler,118
Joanna Cam Butler,117,spouse,Teige O'Carroll,119
d. O'Brien,120,daughter,Unknown O'Brien-1,121
d. O'Brien,120,spouse,Unknown O'Kennedy-1,122
Honora Burke,123,daughter,William Burke,124
Honora Burke,123,spouse,Unknown O'Meagher-1,125
Lucy O'Tully,126,daughter,Unknown O'Tully-1,127
Lucy O'Tully,126,spouse,Maurice MacCraith,128
Dervorgilla O'Conor,129,daughter,Cathal Og O'Conor,9
Dervorgilla O'Conor,129,spouse,Unknown O'Conor Roe-1,130
Beanmidhe MacMahon,131,daughter,Unknown MacMahon-1,132
Beanmidhe MacMahon,131,spouse,Unknown O'Neill-1,133
Aine MacDonough,134,daughter,Unknown MacDonough-2,135
Aine MacDonough,134,spouse,Tiernan O'Rourke,136
d. Mac William Burke,137,daughter,Unknown Mac William Burke-2,137
d. Mac William Burke,137,spouse,Unknown O'Farrell-4,139
Nualaith O'Farrell,140,daughter,Murchadh O'Farrell,141
Nualaith O'Farrell,140,spouse,Thomas mac Cathal O'Farrell,142
Sadhb O'Neill,143,daughter,Aedh O'Neill,17
Sadhb O'Neill,143,spouse,Unknown Bisset-1,144
Affric O'Neill,145,daughter,Aedh O'Neill,17
Affric O'Neill,145,spouse,Henry Aimreidh O'Neill,146
d. Butler,147,daughter,James Butler,118
d. Butler,147,spouse,Gerald Fitzgerald,148
Etain O'Flanagan,149,daughter,Jeffrey O'Flanagan,150
Etain O'Flanagan,149,spouse,William MacBrannan,151
Edain O'Conor,152,daughter,Cathal Og O'Conor,9
Edain O'Conor,152,spouse,Brian mac Mail-Shechlainn O'Kelly,153
Una O'Conor-2,158,daughter,Tadhg mac Manus O'Conor,159
Una O'Conor-2,158,spouse,Aedh Maguire-2,160
Mary O'Kane,161,daughter,Unknown O'Kane-1,162
Mary O'Kane,161,spouse,Unknown O'Doherty-1,163
d. Brian O'Farrell,166,daughter,Brian O'Farrell,167
d. Brian O'Farrell,166,spouse,Unknown Sionnach-2,168
Finnghuala O'Farrell,169,daughter,Brian O'Farrell,167
Finnghuala O'Farrell,169,spouse,Unknown MacSweeny-1,170
Finnghuala O'Conor,171,daughter,Turlough O'Conor-2,107
Finnghuala O'Conor,171,spouse,Mail-Shechlainn O'Kelly,172
d. O'Conor Faly,173,daughter,Unknown O'Conor Faly-2,174
d. O'Conor Faly,173,spouse,Gillapatrick O'More,175
Nualaith O'Conor,176,daughter,Donnell mac Murtough O'Conor,177
Nualaith O'Conor,176,spouse,Farrell mac Conor MacDonough,178
d. Donnell O'Brien,179,daughter,Donnell O'Brien,180
d. Donnell O'Brien,179,spouse,Philip mac Mahon O'Kennedy Don,181
Sabia O'Brien,184,daughter,Conor O'Brien,185
Sabia O'Brien,184,spouse,Walter Burke-2,186
Sadhbh MacMurrough,187,daughter,Unknown MacMurrough-1,188
Sadhbh MacMurrough,187,spouse,Unknown MacGillapatrick-1,189
Benmumhan O'Conor,190,daughter,Aedh O'Conor,191
Benmumhan O'Conor,190,spouse,Murchadh mac Cormac MacDonough,192
Caitlin O'Farrell,193,daughter,Tomaltach O'Farrell,194
Caitlin O'Farrell,193,spouse,Maelsechlainn Mor MacOwen,195
Joan Fitzgerald,196,daughter,Gerald Fitzgerald,148
Joan Fitzgerald,196,spouse,Tadhg MacCarthy Mor,197
Sabia O'Rourke,198,daughter,Tiernan O'Rourke,136
Sabia O'Rourke,198,spouse,Edmund mac Thomas O'Farrell,199
Catherine MacDonough,200,daughter,Maelsechlain mac Maurice MacDonough,201
Catherine MacDonough,200,spouse,Unknown MacFirbisigh-1,202
Bebinn MacDonough,203,daughter,Ruaidhri mac Tomaltach MacDonough,204
Bebinn MacDonough,203,spouse,Owen mac Donnell O'Conor,205
Beanmidhe O'Glennon,206,daughter,Unknown O'Glennon-1,207
Beanmidhe O'Glennon,206,spouse,Gilla-Tigernaigh MacGillamartin,208
Gormlaith O'Neill,209,daughter,Brian Mor O'Neill,210
Gormlaith O'Neill,209,spouse,John O'Donnell,211
Una O'Neill,212,daughter,Donnell O'Neill,213
Una O'Neill,212,spouse,Niall Og O'Neill,214
Catirfina O'Rourke,215,daughter,Cathal O'Rourke,216
Catirfina O'Rourke,215,spouse,Turlough MacDonnell,217
Ragnailt O'Birn,218,daughter,Donnchadh O'Birn,219
Ragnailt O'Birn,218,spouse,Diarmait MacDermot,220
Ragnailt O'Birn,218,spouse,William mac Walter Burke,221
Ragnailt O'Birn,218,spouse,Cumscrach MacRannell,222
Grainne MacDermot,223,daughter,Fergal MacDermot,224
Grainne MacDermot,223,spouse,Unknown MacRannell Dubh-2,225
Grainne MacDermot,223,spouse,Unknown O'Conor Roe-1,130
Lasarina O'Conor,226,daughter,Cathal mac Aedh O'Conor,157
Lasarina O'Conor,226,spouse,Melaghlin mac Flaherty O'Rourke,228
Finnguala MacRannell,229,daughter,Unknown MacRannell-2,230
Finnguala MacRannell,229,spouse,Richard mac Thomas O'Reily,231
Lasarfina O'Hanley,232,daughter,Aedh O'Hanley,233
Lasarfina O'Hanley,232,spouse,Murchadh mac Tomas O'Birn,234
d. O'Broin,235,daughter,Unknown O'Broin-1,236
d. O'Broin,235,spouse,Donnell Finn MacHerbert,237
Anabla MacJordan d'Exeter,238,daughter,Unknown MacJordan d'Exeter-1,239
Anabla MacJordan d'Exeter,238,spouse,Uilliam mac Maelsechlainn O'Kelly,240
Mary Burke,241,daughter,Unknown Burke-1,242
Mary Burke,241,spouse,James Fitzgerald,243
Mor O'Durnin,244,daughter,Unknown O'Durnin-1,245
Mor O'Durnin,244,spouse,Tomaltach O'Birn,246
Mor O'Brien,247,daughter,Brian O'Brien,248
Mor O'Brien,247,spouse,Walter Burke-3,249
Mor O'Brien,247,spouse,Tadhg O'Carroll-2,250
d. Walter Burke,251,daughter,Walter Burke-3,249
d. Walter Burke,251,spouse,Conor O'Brien-2,252
Ragnailt Dub O'Brien,253,daughter,Conor O'Brien-2,252
Ragnailt Dub O'Brien,253,spouse,Unknown O'Flaherty-1,254
Ben Mide O'Conor,255,daughter,Donnell mac Murtough O'Conor,177
Ben Mide O'Conor,255,spouse,Thomas Barrett,256
Gormlaith O'Conor,257,daughter,Donnell O'Conor,258
Gormlaith O'Conor,257,spouse,Tiernan O'Rourke,136
Una Maguire,259,daughter,Aedh Maguire-2,160
Una Maguire,259,spouse,Tadhg O'Rourke,260
Aine O'Birn,261,daughter,Cormac O'Birn,262
Aine O'Birn,261,spouse,Geoffrey MacRannell,263
Joan MacCawell,264,daughter,Unknown MacCawell-1,265
Joan MacCawell,264,spouse,Maurice Maguire,266
Catherine MacMahon,267,daughter,Ardghal MacMahon,268
