DocID	LocationText	SubmissionCoordinates	Date	SubmitterID	Origin Coordinates	Notes	InterpreterID	Interpreter Coord
NI1	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-16	2	"54.5063072522902, -6.768650213215768"	"per Curtis, the son of the lord of the Isles, from the Hebrides, but at the moment of submission, taking refuge with O'Neill following an internecine conflict (ancestor of the Antrim MacDonnells)"	3	"53.343059024832215, -6.267460588689023"
NI2	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-16	11	"54.35433661014168, -6.417615938831388"	Loughgilly seems to have been the seat of the O'Hanlon lordship in the 14th c	3	"53.343059024832215, -6.267460588689023"
NI3	Dublin Castle	"53.343059024832215, -6.267460588689023"	1395-02-18	12		Curtis (p 234)		
NI4	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-21	20	"53.222980096917325, -7.262605604662662"	"Geolocated to location of Ballykean tower house - certainly too late to be actual center of O'Dempsey lordship in 1395, but seems to be surrounded by other evidence of O'Dempsey lordship - ring-barrow known as ""O'Dempsey's Ring,"" moated site and medieval site, etc"	21	
NI5	New Leighlin	"52.7369175458268, -7.023268375122851"	1395-04-01	33; 34; 35; 36; 37	"52.590900115704486, -6.500068251353481"		38	"52.984871314450615, -6.808651542688595"
NI6	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-16	42; 43	"53.722734056115634, -8.415850491520471"		21	
NI7	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-08	44	"51.94903099242467, -10.258605292800087"	Letter explaining his absence and promising to make his submission when Richard comes to Munster		
NI8	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-16	46	"54.5063072522902, -6.768650213215768"		47	"54.531210748889556, -6.81312025513508"
NI9	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-16	49	"54.26405024505779, -5.844814792025816"		50	
NI10	Drogheda Dominican priory	"53.71799324577726, -6.351336075629299"	1395-03-16	51	"54.35433661014168, -6.417615938831388"		3	"53.343059024832215, -6.267460588689023"
NI11	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-03	52	"51.75063811575025, -0.34227652942078435"	"""Englishman and a rebel"""		
NI12	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-06	142; 54	"52.402309862021305, -9.628663487621754; 52.57014569642131, -9.294740763174241"			
NI13	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-06	55; 56	"54.120883056109335, -9.142255900242674"			
NI14	"Monastery of St. Thomas the Martyr, Dublin"	"53.34189533431597, -6.280755924061299"	1395-02-04	57	"52.84795897344801, -8.972026293564303"			
NI15a	Balygory near Carlow town	"52.835027006518125, -6.7951297352061655"	1395-02-16	7	"51.499673068298016, -0.12474482944096953"	"Not technically a submission, but Mowbray inviting in O'Nolan"		
NI15b	Balygory near Carlow town	"52.835027006518125, -6.7951297352061655"	1395-02-16	61; 62; 64; 65; 66; 67; 68	"53.032003403834636, -7.210730631050135; 52.590900115704486, -6.500068251353481; 53.21965782033275, -7.0021621740278945"		63	"53.34298855012456, -6.300094260031192"
NI15c	Carlow castle	"52.83634711708233, -6.935924273548353"	1395-02-17	69; 70; 71; 72; 73; 74; 75	"52.80625387806498, -7.202831361169027; 52.92378377374355, -7.513021134328597; 52.590900115704486, -6.500068251353481"		63	"53.34298855012456, -6.300094260031192"
NI15d	"Franciscan church, Castledermot"	"52.90857225717626, -6.836974246222986"	1395-02-18	77; 78	"53.21965782033275, -7.0021621740278945; 53.18463122519382, -6.1872523309723855"		76	
NI15e	Dublin castle	"53.343059024832215, -6.267460588689023"	1395-02-19	12			21	
NI16	Drogheda Franciscan friary	"53.71844105486766, -6.349343432903698"	1395-03-05	46; 2; 49	"54.5063072522902, -6.768650213215768; 54.5063072522902, -6.768650213215768; 54.26405024505779, -5.844814792025816"	Letters		
NI17a	Waterford Franciscan friary	"52.2606239826486, -7.10649212761256"	1395-04-20	43; 96; 97; 98	"53.722734056115634, -8.415850491520471; 52.84795897344801, -8.972026293564303"		95	"52.6286558112801, -7.061082502234726"
NI17b	Waterford Franciscan friary	"52.2606239826486, -7.10649212761256"	1395-04-20	99; 100	"52.865144995499804, -8.19816891618452"		101	
NI17c	Waterford Franciscan friary	"52.2606239826486, -7.10649212761256"	1395-04-20	102; 103	"52.71213203579604, -8.503683679502876; 52.30933453171065, -7.113833917056847"		9	"51.499673068298016, -0.12474482944096953"
NI18	Monastery of St. Thomas the Martyr in Dublin	"53.34189533431597, -6.280755924061299"	1395-03-01	57	"52.84795897344801, -8.972026293564303"		95	"52.6286558112801, -7.061082502234726"
NI19	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-21	105; 106	"53.03050356029592, -7.809028264884678"		107	"53.03050356029592, -7.809028264884678"
NI20	Kilkenny Dominican priory	"52.653899031468974, -7.257574029379863"	1395-04-20	105; 107	"53.03050356029592, -7.809028264884678"			
NI21a	Dundalk Franciscan church	"54.00627489063146, -6.393836344329416"	1395-03-19	109; 111			110	
NI21b	Dundalk Franciscan church	"54.00627489063146, -6.393836344329416"	1395-03-19	112; 115			113	
NI21c	Dundalk Franciscan church	"54.00627489063146, -6.393836344329416"	1395-03-19	114			47	"54.531210748889556, -6.81312025513508"
