PersonID	NameStand	Names	Roles	RoleType
1	Richard II	Richard II	King of England and France; Lord of Ireland	Authority
2	John MacDonald	John MacDonald	Captain of his nation; Constable of the Irish of Uster	Submitter
3	Thomas Talbot	Thomas Talbot		Interpreter
4	"Thomas, Archbishop of York"	Thomas; [Thomas Arundel]	Archbishop of York	Witness
5	"Robert, Bishop of London"	Robert; [Robert Braybrooke]	Bishop of London	Witness
6	"Richard, Bishop of Chichester"	Richard; [Richard Mitford]	Bishop of Chichester; Treasurer	Witness
7	Thomas Mowbray	Thomas Mowbray	Marshal of England; Earl of Nottingham	Witness
8	Thomas Percy	Thomas Percy	Seneschal	Witness
9	William Scrope	William Scrope; William Lescrop	King's Chamberlain	Witness; Interpreter
10	Thomas Sparkeford	Thomas Sparkeford	Clerk of the diocese of Bath and Wells	Witness
11	Catholicus O'Hanlon	Catholicus O'Hanlon; CÒ Uladh; son of 'Avyrcagh'/'Eachmharcach'		Submitter
12	Donnchadh O'Byrne	Donatus O'Bryn; Donnchadh O'Byrne		Submitter
13	"Robert, Archbishop of Dublin"	Robert; [Robert Waldby]	Archbishop of Dublin; Primate of Ireland; Chancellor	Witness
14	"Robert, Bishop of Lismore and Waterford"	Robert; [Robert Read]	Bishop of Lismore and Waterford	Witness
15	Simon Felbryge	Simon Felbryge	Standard-bearer; Knight	Witness
16	Baldwin Bereford	Baldwin Bereford	Knight	Witness
17	Thomas Mareward	Thomas Mareward	Mayor of Dublin	Witness
18	David Bertevyll	David Bertevyll	Sergeant-at-arms	Witness
19	William Bernard	William Bernard		Witness
20	Art O'Dempsey	Arthur de Demesey; Art O'Dempsey		Submitter
21	John Malachy	John Malachy	Chaplain	Interpreter
22	"Peter, Archbishop of Cashel"	Peter; [Peter Hackett]	Archbishop of Cashel	Witness
23	"Tideman, Bishop of Llandaff"	Tideman; [Robert Tideman]	Bishop of Llandaff	Witness
24	"Alexander, Bishop of Meath"	Alexander	Bishop of Meath	Witness
25	"Richard, Bishop of Ossory"	Richard	Bishop of Ossory	Witness
26	"Thomas, Bishop of Elphin"	Thomas	Bishop of Elphin	Witness
27	"John, Bishop of Leighlin"	John; John Griffin	Bishop of Leighlin	Witness
28	"Miles, Bishop of Cloyne"	Miles	Bishop of Cloyne	Witness
29	"Edward, Earl of Cork and Rutland"	Edward	Earl of Cork and Rutland	Witness
30	"Roger, Earl of March and Ulster"	Roger; Roger Mortimer	Earl of March and Ulster	Witness
31	John Holland	John Holland	Earl of Huntingdon	Witness
32	John Stanley	John Stanley		Authority
33	William Beg	William Beg	Reeve of Art MacMurrough	Submitter
34	John Nicholson	John Nicholson	Reeve of Art MacMurrough	Submitter
35	Maurice Adalagh	Maurice Adalagh	Reeve of Art MacMurrough	Submitter
36	Malachy Cam	Malachy Cam	Tenant of Art MacMurrough	Submitter
37	John Glasmorgh	John Glasmorgh	Tenant of Art MacMurrough	Submitter
38	Fergal O'Kurryn	Fergal O'Kurryn	Vicar of the parish church of Tamlyn	Interpreter
39	Robert de Orrey	Robert de Orrey	Coventry diocese	Witness
40	Henry Bekirton	Henry Bekirton	Lichfield diocese	Witness
41	Robert Boleyne	Robert Boleyne	Clerk of Ely diocese	Witness
42	Tadhg O'Meagher	Tatheus O'Mare; Taig O'Meagher	Captain of his nation	Submitter
43	Turloch O'Conor Don	Terrelagh O'Concor; Turloch O'Conor; Terrelagh O'Conor Don	Captain of his nation	Submitter
