group	numid	id	LocationText	Coordinates	Geolocation	LocationRelation	Precision	Certainty	url
Submission data	1	Richard II		"51.499673068298016, -0.12474482944096953"	Westminster Palace	Seat of authority	Castle	Very certain	
Submission data	2	John MacDonald		"54.505752709391544, -6.7675603709869145"	Dungannon	Residence	Castle	Very certain	
Submission data	3	Thomas Talbot		"53.44494090251295, -6.164572199713146"	Malahide Castle	Residence	Castle	Moderately certain	
Submission data	4	Thomas Arundel		"53.96261321710904, -1.082564232319088"	York Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	5	Robert Braybrooke		"51.51391872458704, -0.09835060227396925"	Old St. Paul's Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	6	Richard Medford		"50.836444616933846, -0.7806593023080537"	Chichester Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	7	Thomas Mowbray		"53.52635679996112, -0.8166546393819635"	Epworth Castle	Residence	Castle	Very certain	
Submission data	8	Thomas Percy		"53.77546319856784, -0.9289391911809356"	Wressle Castle	Residence	Castle	Moderately certain	
Submission data	9	William Scrope		"51.499673068298016, -0.12474482944096953"	Westminster Palace	Seat of authority	Castle	Very certain	
Submission data	10	Thomas Sparkford		"51.210575282198946, -2.6434303599616404"	Wells Cathedral	Residence	Diocese	Very certain	
Submission data	11	Catholicus O'Hanlon		"54.35433661014168, -6.417615938831388"	Tandragee	Residence	Castle	Moderately certain	
Submission data	12	Donnchadh O'Byrne		"53.07344505519419, -6.072130490017539"	Newcastle Middle	Locus of authority	Castle	Very certain	
Submission data	13	Robert Waldby		"53.34345533225444, -6.27106020218046"	Christ Church	Seat of authority	Cathedral	Very certain	
Submission data	14	Robert Read		"52.26005051914892, -7.107510486891409"	Christ Church	Seat of authority	Cathedral	Very certain	
Submission data	15	Simon Felbrigg		"52.907339265628885, 1.2593998313554615"	Felbrigg Hall	Residence	Manor	Very certain	
Submission data	16	Baldwin Bereford		"52.394108639873494, -1.5074072768538256"	"Chailesmore, Coventry, England"	Ownership	Manor	Very certain	
Submission data	17	Thomas Mareward		"53.343059024832215, -6.267460588689023"	Dublin Castle	Seat of authority	Castle	Very certain	
Submission data	18	David Berteville		"51.51583646769191, -0.1016736882634505"	Newgate Gaol	Seat of authority	Prison	Very uncertain	
Submission data	19	William Bernard	Guernsey	"49.45331609939186, -2.526401592247284"	Castle Cornet	Residence	Island	Very certain	
Submission data	20	Art O'Dempsey		"53.223358839531244, -7.257592303275473"	Ballykean	Residence	Moated site	Moderately certain	
Submission data	21	John Malachy		"53.34345533225444, -6.27106020218046"	Christ Church	Residence	Diocese	Very certain	
Submission data	22	Peter Hackett		"52.52018726099023, -7.890430744550451"	Rock of Cashel	Seat of authority	Cathedral	Very certain	
Submission data	23	Robert Tideman		"51.49581515376926, -3.217197702793551"	Llandaff Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	24	Alexander Balscot		"53.55564324360365, -6.772494895820081"	Augustinian Priory of Sts Peter and Paul	Seat of authority	Religious house	Very certain	
Submission data	25	Richard Northalis		"52.65676829073725, -7.257265996886012"	St. Canice's Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	26	Thomas Barrett		"53.84522952503657, -8.19067033028418"	St Mary's Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	27	John Griffin		"52.73610773387068, -7.025380359884095"	St. Laserian's Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	28	Miles Corr		"53.667102696080896, -7.692579048978749"	St. Mel's Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	29	"Edward, Duke of York"		"52.524520973168976, -0.4355533758965811"	Fotheringay Castle	Residence	Castle	Very certain	
Submission data	30	Roger Mortimer		"53.55433368968523, -6.789908525336877"	Trim Castle	Residence	Castle	Very certain	
Submission data	31	John Holland		"51.76391915878651, -0.5598456374405312"	Berkahmsted Castle	Residence	Castle	Very certain	
Submission data	32	John Stanley		"53.57605516263993, -2.8180305756709085"	Lathom House	Residence	Manor	Moderately certain	
Submission data	33	William Beg		"52.590900115704486, -6.500068251353481"	Ferns Castle	Residence	Lordship	Moderately certain	
Submission data	34	John Nicholson		"52.590900115704486, -6.500068251353481"	Ferns Castle	Residence	Lordship	Moderately certain	
Submission data	35	Maurice Adalagh		"52.590900115704486, -6.500068251353481"	Ferns Castle	Residence	Lordship	Moderately certain	
Submission data	36	Malachy Cam		"52.590900115704486, -6.500068251353481"	Ferns Castle	Residence	Lordship	Moderately certain	
