PersonID	PersonText	LocationText	Geolocation	Coordinates	LocationRelation	Precision	Certainty
1	Richard II		Westminster Palace	"51.499673068298016, -0.12474482944096953"	Seat of authority	Castle	Very certain
2	John MacDonald		Dungannon	"54.505752709391544, -6.7675603709869145"	Residence	Castle	Very certain
3	Thomas Talbot		Malahide Castle	"53.44494090251295, -6.164572199713146"	Residence	Castle	Moderately certain
4	Thomas Arundel		York Cathedral	"53.96261321710904, -1.082564232319088"	Seat of authority	Cathedral	Very certain
5	Robert Braybrooke		Old St. Paul's Cathedral	"51.51391872458704, -0.09835060227396925"	Seat of authority	Cathedral	Very certain
6	Richard Medford		Chichester Cathedral	"50.836444616933846, -0.7806593023080537"	Seat of authority	Cathedral	Very certain
7	Thomas Mowbray		Epworth Castle	"53.52635679996112, -0.8166546393819635"	Residence	Castle	Very certain
8	Thomas Percy		Wressle Castle	"53.77546319856784, -0.9289391911809356"	Residence	Castle	Moderately certain
9	William Scrope		Westminster Palace	"51.499673068298016, -0.12474482944096953"	Seat of authority	Castle	Very certain
10	Thomas Sparkford		Wells Cathedral	"51.210575282198946, -2.6434303599616404"	Residence	Diocese	Very certain
11	Catholicus O'Hanlon		Tandragee	"54.35433661014168, -6.417615938831388"	Residence	Castle	Moderately certain
12	Donnchadh O'Byrne		Newcastle Middle	"53.07344505519419, -6.072130490017539"	Locus of authority	Castle	Very certain
13	Robert Waldby		Christ Church	"53.34345533225444, -6.27106020218046"	Seat of authority	Cathedral	Very certain
14	Robert Read		Christ Church	"52.26005051914892, -7.107510486891409"	Seat of authority	Cathedral	Very certain
15	Simon Felbrigg		Felbrigg Hall	"52.907339265628885, 1.2593998313554615"	Residence	Manor	Very certain
16	Baldwin Bereford		"Chailesmore, Coventry, England"	"52.394108639873494, -1.5074072768538256"	Ownership	Manor	Very certain
17	Thomas Mareward		Dublin Castle	"53.343059024832215, -6.267460588689023"	Seat of authority	Castle	Very certain
18	David Berteville		Newgate Gaol	"51.51583646769191, -0.1016736882634505"	Seat of authority	Prison	Very uncertain
19	William Bernard	Guernsey	Castle Cornet	"49.45331609939186, -2.526401592247284"	Residence	Island	Very certain
20	Art O'Dempsey		Ballykean	"53.223358839531244, -7.257592303275473"	Residence	Moated site	Moderately certain
21	John Malachy		Christ Church	"53.34345533225444, -6.27106020218046"	Residence	Diocese	Very certain
22	Peter Hackett		Rock of Cashel	"52.52018726099023, -7.890430744550451"	Seat of authority	Cathedral	Very certain
23	Robert Tideman		Llandaff Cathedral	"51.49581515376926, -3.217197702793551"	Seat of authority	Cathedral	Very certain
24	Alexander Balscot		Augustinian Priory of Sts Peter and Paul	"53.55564324360365, -6.772494895820081"	Seat of authority	Religious house	Very certain
25	Richard Northalis		St. Canice's Cathedral	"52.65676829073725, -7.257265996886012"	Seat of authority	Cathedral	Very certain
