DocID	Authority	AuthorityID	SubmitterText	SubmitterID	Language	InterpreterText	InterpreterID	WitnessText	WitnessID	NotaryID
NI1	Richard II	1	John MacDonald	2	Irish	Thomas Talbot	3	"Thomas, Archbishop of York; Robert, Bishop of London; Richard, Bishop of Chichester; Thomas Mowbray; Thomas Percy; William Scrope"	4; 5; 6; 7; 8; 9	10
NI2	Richard II	1	Catholicus O'Hanlon	11	Irish	Thomas Talbot	3	"Thomas, Archbishop of York; Robert, Bishop of London; Richard, Bishop of Chichester; Thomas Mowbray; Thomas Percy; William Scrope"	4; 5; 6; 7; 8; 9	10
NI3	Richard II	1	Donnchadh O'Byrne	12	Unknown			"Robert, Archbishop of Dublin; Richard, Bishop of Chichester; Robert, Bishop of Lismore and Waterford; William Scrope; Simon Felbryge; Baldwin Bereford; Thomas Mareward; David Bertevyll"	13; 6; 14; 9; 15; 16; 17; 18	19
NI4	Richard II	1	Art O'Dempsey	20	Irish	John Malachy	21	"Robert, Archbishop of Dublin; Peter, Archbishop of Cashel; Richard, Bishop of Chichester; Tideman, Bishop of Llandaff; Alexander, Bishop of Meath; Robert, Bishop of Lismore and Waterford; Richard, Bishop of Ossory; Thomas, Bishop of Elphin; John, Bishop of Leighlin; Miles, Bishop of Cloyne; Edward, Earl of Cork and Rutland; Roger, Earl of March and Ulster; John Holland"	13; 22; 6; 23; 24; 14; 25; 26; 27; 28; 29; 30; 31	10
NI5	John Stanley	32	William Beg; John Nicholson; Maurice Adalagh; Malachy Cam; John Glasmorgh	33; 34; 35; 36; 37	Irish	Fergal O'Kurryn	38	Fergal O'Kurryn; Robert de Orrey; Henry Bekirton	38; 39; 40	41
NI6	Richard II	1	Tadhg O'Meagher; Turloch O'Conor Don	42; 43	Irish	John Malachy	21	"Tideman, Bishop of Llandaff; Robert, Bishop of Lismore and Waterford; John Holland; William Scrope"	23; 14; 31; 9	10
NI7	Richard II	1	Tadhg MacCarthy Mor	44	Unknown			"Richard, Bishop of Chichester; John Golafre"	6; 45	10
NI8	Richard II	1	Niall Og O'Neill	46	Irish	Thomas O'Locheran	47	"Thomas, Archbishop of York; John, Archbishop of Armagh; Robert, Bishop of London; Richard, Bishop of Chichester; Tideman, Bishop of Llandaff; Thomas Mowbray; Thomas Percy; William Scrope"	4; 48; 5; 6; 23; 7; 8; 9	10
NI9	Richard II	1	Maurice Magennis	49	Irish	Stephen Garnon	50	"Thomas, Archbishop of York; Robert, Bishop of London; Richard, Bishop of Chichester; Tideman, Bishop of Llandaff; Thomas Mowbray; Thomas Percy; William Scrope"	4; 5; 6; 23; 7; 8; 9	10
NI10	Richard II	1	Niall O'Hanlon	51	Irish	Thomas Talbot	3	"Thomas, Archbishop of York; Robert, Bishop of London; Richard, Bishop of Chichester; Tideman, Bishop of Llandaff; Thomas Mowbray; Thomas Percy; William Scrope"	4; 5; 6; 23; 7; 8; 9	10
NI11	Richard II	1	Adam Tobyn	52	English			"Robert, Archbishop of Dublin; Richard, Bishop of Chichester; Tideman, Bishop of Llandaff; Robert, Bishop of Lismore and Waterford"	13; 6; 23; 14	10
